번호,유니코드,십진코드,설명,도형
1,0x25A0,9632,BLACK SQUARE,■
2,0x25A1,9633,WHITE SQUARE,□
3,0x25A2,9634,WHITE SQUARE WITH ROUNDED CORNERS,▢
4,0x25A3,9635,WHITE SQUARE CONTAINING BLACK SMALL SQUARE,▣
5,0x25A4,9636,SQUARE WITH HORIZONTAL FILL,▤
6,0x25A5,9637,SQUARE WITH VERTICAL FILL,▥
7,0x25A6,9638,SQUARE WITH ORTHOGONAL CROSSHATCH FILL,▦
8,0x25A7,9639,SQUARE WITH UPPER LEFT TO LOWER RIGHT FILL,▧
9,0x25A8,9640,SQUARE WITH UPPER RIGHT TO LOWER LEFT FILL,▨
10,0x25A9,9641,SQUARE WITH DIAGONAL CROSSHATCH FILL,▩
11,0x25AA,9642,BLACK SMALL SQUARE,▪
12,0x25AB,9643,WHITE SMALL SQUARE,▫
13,0x25AC,9644,BLACK RECTANGLE,▬
14,0x25AD,9645,WHITE RECTANGLE,▭
15,0x25AE,9646,BLACK VERTICAL RECTANGLE,▮
16,0x25AF,9647,WHITE VERTICAL RECTANGLE,▯
17,0x25B0,9648,BLACK PARALLELOGRAM,▰
18,0x25B1,9649,WHITE PARALLELOGRAM,▱
19,0x25B2,9650,BLACK UP-POINTING TRIANGLE,▲
20,0x25B3,9651,WHITE UP-POINTING TRIANGLE,△
21,0x25B4,9652,BLACK UP-POINTING SMALL TRIANGLE,▴
22,0x25B5,9653,WHITE UP-POINTING SMALL TRIANGLE,▵
23,0x25B6,9654,BLACK RIGHT-POINTING TRIANGLE,▶
24,0x25B7,9655,WHITE RIGHT-POINTING TRIANGLE,▷
25,0x25B8,9656,BLACK RIGHT-POINTING SMALL TRIANGLE,▸
26,0x25B9,9657,WHITE RIGHT-POINTING SMALL TRIANGLE,▹
27,0x25BA,9658,BLACK RIGHT-POINTING POINTER,►
28,0x25BB,9659,WHITE RIGHT-POINTING POINTER,▻
29,0x25BC,9660,BLACK DOWN-POINTING TRIANGLE,▼
30,0x25BD,9661,WHITE DOWN-POINTING TRIANGLE,▽
31,0x25BE,9662,BLACK DOWN-POINTING SMALL TRIANGLE,▾
32,0x25BF,9663,WHITE DOWN-POINTING SMALL TRIANGLE,▿
33,0x25C0,9664,BLACK LEFT-POINTING TRIANGLE,◀
34,0x25C1,9665,WHITE LEFT-POINTING TRIANGLE,◁
35,0x25C2,9666,BLACK LEFT-POINTING SMALL TRIANGLE,◂
36,0x25C3,9667,WHITE LEFT-POINTING SMALL TRIANGLE,◃
37,0x25C4,9668,BLACK LEFT-POINTING POINTER,◄
38,0x25C5,9669,WHITE LEFT-POINTING POINTER,◅
39,0x25C6,9670,BLACK DIAMOND,◆
40,0x25C7,9671,WHITE DIAMOND,◇
41,0x25C8,9672,WHITE DIAMOND CONTAINING BLACK SMALL DIAMOND,◈
42,0x25C9,9673,FISHEYE,◉
43,0x25CA,9674,LOZENGE,◊
44,0x25CB,9675,WHITE CIRCLE,○
45,0x25CC,9676,DOTTED CIRCLE,◌
46,0x25CD,9677,CIRCLE WITH VERTICAL FILL,◍
47,0x25CE,9678,BULLSEYE,◎
48,0x25CF,9679,BLACK CIRCLE,●
49,0x25D0,9680,CIRCLE WITH LEFT HALF BLACK,◐
50,0x25D1,9681,CIRCLE WITH RIGHT HALF BLACK,◑
51,0x25D2,9682,CIRCLE WITH LOWER HALF BLACK,◒
52,0x25D3,9683,CIRCLE WITH UPPER HALF BLACK,◓
53,0x25D4,9684,CIRCLE WITH UPPER RIGHT QUADRANT BLACK,◔
54,0x25D5,9685,CIRCLE WITH ALL BUT UPPER LEFT QUADRANT BLACK,◕
55,0x25D6,9686,LEFT HALF BLACK CIRCLE,◖
56,0x25D7,9687,RIGHT HALF BLACK CIRCLE,◗
57,0x25D8,9688,INVERSE BULLET,◘
58,0x25D9,9689,INVERSE WHITE CIRCLE,◙
59,0x25DA,9690,UPPER HALF INVERSE WHITE CIRCLE,◚
60,0x25DB,9691,LOWER HALF INVERSE WHITE CIRCLE,◛
61,0x25DC,9692,UPPER LEFT QUADRANT CIRCULAR ARC,◜
62,0x25DD,9693,UPPER RIGHT QUADRANT CIRCULAR ARC,◝
63,0x25DE,9694,LOWER RIGHT QUADRANT CIRCULAR ARC,◞
64,0x25DF,9695,LOWER LEFT QUADRANT CIRCULAR ARC,◟
65,0x25E0,9696,UPPER HALF CIRCLE,◠
66,0x25E1,9697,LOWER HALF CIRCLE,◡
67,0x25E2,9698,BLACK LOWER RIGHT TRIANGLE,◢
68,0x25E3,9699,BLACK LOWER LEFT TRIANGLE,◣
69,0x25E4,9700,BLACK UPPER LEFT TRIANGLE,◤
70,0x25E5,9701,BLACK UPPER RIGHT TRIANGLE,◥
71,0x25E6,9702,WHITE BULLET,◦
72,0x25E7,9703,SQUARE WITH LEFT HALF BLACK,◧
73,0x25E8,9704,SQUARE WITH RIGHT HALF BLACK,◨
74,0x25E9,9705,SQUARE WITH UPPER LEFT DIAGONAL HALF BLACK,◩
75,0x25EA,9706,SQUARE WITH LOWER RIGHT DIAGONAL HALF BLACK,◪
76,0x25EB,9707,WHITE SQUARE WITH VERTICAL BISECTING LINE,◫
77,0x25EC,9708,WHITE UP-POINTING TRIANGLE WITH DOT,◬
78,0x25ED,9709,UP-POINTING TRIANGLE WITH LEFT HALF BLACK,◭
79,0x25EE,9710,UP-POINTING TRIANGLE WITH RIGHT HALF BLACK,◮
80,0x25EF,9711,LARGE CIRCLE,◯
81,0x25F0,9712,WHITE SQUARE WITH UPPER LEFT QUADRANT,◰
82,0x25F1,9713,WHITE SQUARE WITH LOWER LEFT QUADRANT,◱
83,0x25F2,9714,WHITE SQUARE WITH LOWER RIGHT QUADRANT,◲
84,0x25F3,9715,WHITE SQUARE WITH UPPER RIGHT QUADRANT,◳
85,0x25F4,9716,WHITE CIRCLE WITH UPPER LEFT QUADRANT,◴
86,0x25F5,9717,WHITE CIRCLE WITH LOWER LEFT QUADRANT,◵
87,0x25F6,9718,WHITE CIRCLE WITH LOWER RIGHT QUADRANT,◶
88,0x25F7,9719,WHITE CIRCLE WITH UPPER RIGHT QUADRANT,◷
89,0x2600,9728,BLACK SUN WITH RAYS,☀
90,0x2601,9729,CLOUD,☁
91,0x2602,9730,UMBRELLA,☂
92,0x2603,9731,SNOWMAN,☃
93,0x2604,9732,COMET,☄
94,0x2605,9733,BLACK STAR,★
95,0x2606,9734,WHITE STAR,☆
96,0x2607,9735,LIGHTNING,☇
97,0x2608,9736,THUNDERSTORM,☈
98,0x2609,9737,SUN,☉
99,0x260A,9738,ASCENDING NODE,☊
100,0x260B,9739,DESCENDING NODE,☋
101,0x260C,9740,CONJUNCTION,☌
102,0x260D,9741,OPPOSITION,☍
103,0x260E,9742,BLACK TELEPHONE,☎
104,0x260F,9743,WHITE TELEPHONE,☏
105,0x2610,9744,BALLOT BOX,☐
106,0x2611,9745,BALLOT BOX WITH CHECK,☑
107,0x2612,9746,BALLOT BOX WITH X,☒
108,0x2613,9747,SALTIRE,☓
109,0x2619,9753,REVERSED ROTATED FLORAL HEART BULLET,☙
110,0x261A,9754,BLACK LEFT POINTING INDEX,☚
111,0x261B,9755,BLACK RIGHT POINTING INDEX,☛
112,0x261C,9756,WHITE LEFT POINTING INDEX,☜
113,0x261D,9757,WHITE UP POINTING INDEX,☝
114,0x261E,9758,WHITE RIGHT POINTING INDEX,☞
115,0x261F,9759,WHITE DOWN POINTING INDEX,☟
116,0x2620,9760,SKULL AND CROSSBONES,☠
117,0x2621,9761,CAUTION SIGN,☡
118,0x2622,9762,RADIOACTIVE SIGN,☢
119,0x2623,9763,BIOHAZARD SIGN,☣
120,0x2624,9764,CADUCEUS,☤
121,0x2625,9765,ANKH,☥
122,0x2626,9766,ORTHODOX CROSS,☦
123,0x2627,9767,CHI RHO,☧
124,0x2628,9768,CROSS OF LORRAINE,☨
125,0x2629,9769,CROSS OF JERUSALEM,☩
126,0x262A,9770,STAR AND CRESCENT,☪
127,0x262B,9771,FARSI SYMBOL,☫
128,0x262C,9772,ADI SHAKTI,☬
129,0x262D,9773,HAMMER AND SICKLE,☭
130,0x262E,9774,PEACE SYMBOL,☮
131,0x262F,9775,YIN YANG,☯
132,0x2630,9776,TRIGRAM FOR HEAVEN,☰
133,0x2631,9777,TRIGRAM FOR LAKE,☱
134,0x2632,9778,TRIGRAM FOR FIRE,☲
135,0x2633,9779,TRIGRAM FOR THUNDER,☳
136,0x2634,9780,TRIGRAM FOR WIND,☴
137,0x2635,9781,TRIGRAM FOR WATER,☵
138,0x2636,9782,TRIGRAM FOR MOUNTAIN,☶
139,0x2637,9783,TRIGRAM FOR EARTH,☷
140,0x2638,9784,WHEEL OF DHARMA,☸
141,0x2639,9785,WHITE FROWNING FACE,☹
142,0x263A,9786,WHITE SMILING FACE,☺
143,0x263B,9787,BLACK SMILING FACE,☻
144,0x263C,9788,WHITE SUN WITH RAYS,☼
145,0x263D,9789,FIRST QUARTER MOON,☽
146,0x263E,9790,LAST QUARTER MOON,☾
147,0x263F,9791,MERCURY,☿
148,0x2640,9792,FEMALE SIGN,♀
149,0x2641,9793,EARTH,♁
150,0x2642,9794,MALE SIGN,♂
151,0x2643,9795,JUPITER,♃
152,0x2644,9796,SATURN,♄
153,0x2645,9797,URANUS,♅
154,0x2646,9798,NEPTUNE,♆
155,0x2647,9799,PLUTO,♇
156,0x2648,9800,ARIES,♈
157,0x2649,9801,TAURUS,♉
158,0x264A,9802,GEMINI,♊
159,0x264B,9803,CANCER,♋
160,0x264C,9804,LEO,♌
161,0x264D,9805,VIRGO,♍
162,0x264E,9806,LIBRA,♎
163,0x264F,9807,SCORPIUS,♏
164,0x2650,9808,SAGITTARIUS,♐
165,0x2651,9809,CAPRICORN,♑
166,0x2652,9810,AQUARIUS,♒
167,0x2653,9811,PISCES,♓
168,0x2654,9812,WHITE CHESS KING,♔
169,0x2655,9813,WHITE CHESS QUEEN,♕
170,0x2656,9814,WHITE CHESS ROOK,♖
171,0x2657,9815,WHITE CHESS BISHOP,♗
172,0x2658,9816,WHITE CHESS KNIGHT,♘
173,0x2659,9817,WHITE CHESS PAWN,♙
174,0x265A,9818,BLACK CHESS KING,♚
175,0x265B,9819,BLACK CHESS QUEEN,♛
176,0x265C,9820,BLACK CHESS ROOK,♜
177,0x265D,9821,BLACK CHESS BISHOP,♝
178,0x265E,9822,BLACK CHESS KNIGHT,♞
179,0x265F,9823,BLACK CHESS PAWN,♟
180,0x2660,9824,BLACK SPADE SUIT,♠
181,0x2661,9825,WHITE HEART SUIT,♡
182,0x2662,9826,WHITE DIAMOND SUIT,♢
183,0x2663,9827,BLACK CLUB SUIT,♣
184,0x2664,9828,WHITE SPADE SUIT,♤
185,0x2665,9829,BLACK HEART SUIT,♥
186,0x2666,9830,BLACK DIAMOND SUIT,♦
187,0x2667,9831,WHITE CLUB SUIT,♧
188,0x2668,9832,HOT SPRINGS,♨
189,0x2669,9833,QUARTER NOTE,♩
190,0x266A,9834,EIGHTH NOTE,♪
191,0x266B,9835,BEAMED EIGHTH NOTES,♫
192,0x266C,9836,BEAMED SIXTEENTH NOTES,♬
193,0x266D,9837,MUSIC FLAT SIGN,♭
194,0x266E,9838,MUSIC NATURAL SIGN,♮
195,0x266F,9839,MUSIC SHARP SIGN,♯
196,0x2670,9840,WEST SYRIAC CROSS,♰
197,0x2671,9841,EAST SYRIAC CROSS,♱
198,0x2701,9985,UPPER BLADE SCISSORS,✁
199,0x2702,9986,BLACK SCISSORS,✂
200,0x2703,9987,LOWER BLADE SCISSORS,✃
201,0x2704,9988,WHITE SCISSORS,✄
202,0x2706,9990,TELEPHONE LOCATION SIGN,✆
203,0x2707,9991,TAPE DRIVE,✇
204,0x2708,9992,AIRPLANE,✈
205,0x2709,9993,ENVELOPE,✉
206,0x270C,9996,VICTORY HAND,✌
207,0x270D,9997,WRITING HAND,✍
208,0x270E,9998,LOWER RIGHT PENCIL,✎
209,0x270F,9999,PENCIL,✏
210,0x2710,10000,UPPER RIGHT PENCIL,✐
211,0x2711,10001,WHITE NIB,✑
212,0x2712,10002,BLACK NIB,✒
213,0x2713,10003,CHECK MARK,✓
214,0x2714,10004,HEAVY CHECK MARK,✔
215,0x2715,10005,MULTIPLICATION X,✕
216,0x2716,10006,HEAVY MULTIPLICATION X,✖
217,0x2717,10007,BALLOT X,✗
218,0x2718,10008,HEAVY BALLOT X,✘
219,0x2719,10009,OUTLINED GREEK CROSS,✙
220,0x271A,10010,HEAVY GREEK CROSS,✚
221,0x271B,10011,OPEN CENTRE CROSS,✛
222,0x271C,10012,HEAVY OPEN CENTRE CROSS,✜
223,0x271D,10013,LATIN CROSS,✝
224,0x271E,10014,SHADOWED WHITE LATIN CROSS,✞
225,0x271F,10015,OUTLINED LATIN CROSS,✟
226,0x2720,10016,MALTESE CROSS,✠
227,0x2721,10017,STAR OF DAVID,✡
228,0x2722,10018,FOUR TEARDROP-SPOKED ASTERISK,✢
229,0x2723,10019,FOUR BALLOON-SPOKED ASTERISK,✣
230,0x2724,10020,HEAVY FOUR BALLOON-SPOKED ASTERISK,✤
231,0x2725,10021,FOUR CLUB-SPOKED ASTERISK,✥
232,0x2726,10022,BLACK FOUR POINTED STAR,✦
233,0x2727,10023,WHITE FOUR POINTED STAR,✧
234,0x2729,10025,STRESS OUTLINED WHITE STAR,✩
235,0x272A,10026,CIRCLED WHITE STAR,✪
236,0x272B,10027,OPEN CENTRE BLACK STAR,✫
237,0x272C,10028,BLACK CENTRE WHITE STAR,✬
238,0x272D,10029,OUTLINED BLACK STAR,✭
239,0x272E,10030,HEAVY OUTLINED BLACK STAR,✮
240,0x272F,10031,PINWHEEL STAR,✯
241,0x2730,10032,SHADOWED WHITE STAR,✰
242,0x2731,10033,HEAVY ASTERISK,✱
243,0x2732,10034,OPEN CENTRE ASTERISK,✲
244,0x2733,10035,EIGHT SPOKED ASTERISK,✳
245,0x2734,10036,EIGHT POINTED BLACK STAR,✴
246,0x2735,10037,EIGHT POINTED PINWHEEL STAR,✵
247,0x2736,10038,SIX POINTED BLACK STAR,✶
248,0x2737,10039,EIGHT POINTED RECTILINEAR BLACK STAR,✷
249,0x2738,10040,HEAVY EIGHT POINTED RECTILINEAR BLACK STAR,✸
250,0x2739,10041,TWELVE POINTED BLACK STAR,✹
251,0x273A,10042,SIXTEEN POINTED ASTERISK,✺
252,0x273B,10043,TEARDROP-SPOKED ASTERISK,✻
253,0x273C,10044,OPEN CENTRE TEARDROP-SPOKED ASTERISK,✼
254,0x273D,10045,HEAVY TEARDROP-SPOKED ASTERISK,✽
255,0x273E,10046,SIX PETALLED BLACK AND WHITE FLORETTE,✾
256,0x273F,10047,BLACK FLORETTE,✿
257,0x2740,10048,WHITE FLORETTE,❀
258,0x2741,10049,EIGHT PETALLED OUTLINED BLACK FLORETTE,❁
259,0x2742,10050,CIRCLED OPEN CENTRE EIGHT POINTED STAR,❂
260,0x2743,10051,HEAVY TEARDROP-SPOKED PINWHEEL ASTERISK,❃
261,0x2744,10052,SNOWFLAKE,❄
262,0x2745,10053,TIGHT TRIFOLIATE SNOWFLAKE,❅
263,0x2746,10054,HEAVY CHEVRON SNOWFLAKE,❆
264,0x2747,10055,SPARKLE,❇
265,0x2748,10056,HEAVY SPARKLE,❈
266,0x2749,10057,BALLOON-SPOKED ASTERISK,❉
267,0x274A,10058,EIGHT TEARDROP-SPOKED PROPELLER ASTERISK,❊
268,0x274B,10059,HEAVY EIGHT TEARDROP-SPOKED PROPELLER ASTERISK,❋
269,0x274D,10061,SHADOWED WHITE CIRCLE,❍
270,0x274F,10063,LOWER RIGHT DROP-SHADOWED WHITE SQUARE,❏
271,0x2750,10064,UPPER RIGHT DROP-SHADOWED WHITE SQUARE,❐
272,0x2751,10065,LOWER RIGHT SHADOWED WHITE SQUARE,❑
273,0x2752,10066,UPPER RIGHT SHADOWED WHITE SQUARE,❒
274,0x2756,10070,BLACK DIAMOND MINUS WHITE X,❖
275,0x2758,10072,LIGHT VERTICAL BAR,❘
276,0x2759,10073,MEDIUM VERTICAL BAR,❙
277,0x275A,10074,HEAVY VERTICAL BAR,❚
278,0x275B,10075,HEAVY SINGLE TURNED COMMA QUOTATION MARK ORNAMENT,❛
279,0x275C,10076,HEAVY SINGLE COMMA QUOTATION MARK ORNAMENT,❜
280,0x275D,10077,HEAVY DOUBLE TURNED COMMA QUOTATION MARK ORNAMENT,❝
281,0x275E,10078,HEAVY DOUBLE COMMA QUOTATION MARK ORNAMENT,❞
282,0x2761,10081,CURVED STEM PARAGRAPH SIGN ORNAMENT,❡
283,0x2762,10082,HEAVY EXCLAMATION MARK ORNAMENT,❢
284,0x2763,10083,HEAVY HEART EXCLAMATION MARK ORNAMENT,❣
285,0x2764,10084,HEAVY BLACK HEART,❤
286,0x2765,10085,ROTATED HEAVY BLACK HEART BULLET,❥
287,0x2766,10086,FLORAL HEART,❦
288,0x2767,10087,ROTATED FLORAL HEART BULLET,❧
289,0x2776,10102,DINGBAT NEGATIVE CIRCLED DIGIT ONE,❶
290,0x2777,10103,DINGBAT NEGATIVE CIRCLED DIGIT TWO,❷
291,0x2778,10104,DINGBAT NEGATIVE CIRCLED DIGIT THREE,❸
292,0x2779,10105,DINGBAT NEGATIVE CIRCLED DIGIT FOUR,❹
293,0x277A,10106,DINGBAT NEGATIVE CIRCLED DIGIT FIVE,❺
294,0x277B,10107,DINGBAT NEGATIVE CIRCLED DIGIT SIX,❻
295,0x277C,10108,DINGBAT NEGATIVE CIRCLED DIGIT SEVEN,❼
296,0x277D,10109,DINGBAT NEGATIVE CIRCLED DIGIT EIGHT,❽
297,0x277E,10110,DINGBAT NEGATIVE CIRCLED DIGIT NINE,❾
298,0x277F,10111,DINGBAT NEGATIVE CIRCLED NUMBER TEN,❿
299,0x2780,10112,DINGBAT CIRCLED SANS-SERIF DIGIT ONE,➀
300,0x2781,10113,DINGBAT CIRCLED SANS-SERIF DIGIT TWO,➁
301,0x2782,10114,DINGBAT CIRCLED SANS-SERIF DIGIT THREE,➂
302,0x2783,10115,DINGBAT CIRCLED SANS-SERIF DIGIT FOUR,➃
303,0x2784,10116,DINGBAT CIRCLED SANS-SERIF DIGIT FIVE,➄
304,0x2785,10117,DINGBAT CIRCLED SANS-SERIF DIGIT SIX,➅
305,0x2786,10118,DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN,➆
306,0x2787,10119,DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT,➇
307,0x2788,10120,DINGBAT CIRCLED SANS-SERIF DIGIT NINE,➈
308,0x2789,10121,DINGBAT CIRCLED SANS-SERIF NUMBER TEN,➉
309,0x278A,10122,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE,➊
310,0x278B,10123,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO,➋
311,0x278C,10124,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE,➌
312,0x278D,10125,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR,➍
313,0x278E,10126,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE,➎
314,0x278F,10127,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX,➏
315,0x2790,10128,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN,➐
316,0x2791,10129,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT,➑
317,0x2792,10130,DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE,➒
318,0x2793,10131,DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN,➓
319,0x2794,10132,HEAVY WIDE-HEADED RIGHTWARDS ARROW,➔
320,0x2798,10136,HEAVY SOUTH EAST ARROW,➘
321,0x2799,10137,HEAVY RIGHTWARDS ARROW,➙
322,0x279A,10138,HEAVY NORTH EAST ARROW,➚
323,0x279B,10139,DRAFTING POINT RIGHTWARDS ARROW,➛
324,0x279C,10140,HEAVY ROUND-TIPPED RIGHTWARDS ARROW,➜
325,0x279D,10141,TRIANGLE-HEADED RIGHTWARDS ARROW,➝
326,0x279E,10142,HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW,➞
327,0x279F,10143,DASHED TRIANGLE-HEADED RIGHTWARDS ARROW,➟
328,0x27A0,10144,HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW,➠
329,0x27A1,10145,BLACK RIGHTWARDS ARROW,➡
330,0x27A2,10146,THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD,➢
331,0x27A3,10147,THREE-D BOTTOM-LIGHTED RIGHTWARDS ARROWHEAD,➣
332,0x27A4,10148,BLACK RIGHTWARDS ARROWHEAD,➤
333,0x27A5,10149,HEAVY BLACK CURVED DOWNWARDS AND RIGHTWARDS ARROW,➥
334,0x27A6,10150,HEAVY BLACK CURVED UPWARDS AND RIGHTWARDS ARROW,➦
335,0x27A7,10151,SQUAT BLACK RIGHTWARDS ARROW,➧
336,0x27A8,10152,HEAVY CONCAVE-POINTED BLACK RIGHTWARDS ARROW,➨
337,0x27A9,10153,RIGHT-SHADED WHITE RIGHTWARDS ARROW,➩
338,0x27AA,10154,LEFT-SHADED WHITE RIGHTWARDS ARROW,➪
339,0x27AB,10155,BACK-TILTED SHADOWED WHITE RIGHTWARDS ARROW,➫
340,0x27AC,10156,FRONT-TILTED SHADOWED WHITE RIGHTWARDS ARROW,➬
341,0x27AD,10157,HEAVY LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➭
342,0x27AE,10158,HEAVY UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➮
343,0x27AF,10159,NOTCHED LOWER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➯
344,0x27B1,10161,NOTCHED UPPER RIGHT-SHADOWED WHITE RIGHTWARDS ARROW,➱
345,0x27B2,10162,CIRCLED HEAVY WHITE RIGHTWARDS ARROW,➲
346,0x27B3,10163,WHITE-FEATHERED RIGHTWARDS ARROW,➳
347,0x27B4,10164,BLACK-FEATHERED SOUTH EAST ARROW,➴
348,0x27B5,10165,BLACK-FEATHERED RIGHTWARDS ARROW,➵
349,0x27B6,10166,BLACK-FEATHERED NORTH EAST ARROW,➶
350,0x27B7,10167,HEAVY BLACK-FEATHERED SOUTH EAST ARROW,➷
351,0x27B8,10168,HEAVY BLACK-FEATHERED RIGHTWARDS ARROW,➸
352,0x27B9,10169,HEAVY BLACK-FEATHERED NORTH EAST ARROW,➹
353,0x27BA,10170,TEARDROP-BARBED RIGHTWARDS ARROW,➺
354,0x27BB,10171,HEAVY TEARDROP-SHANKED RIGHTWARDS ARROW,➻
355,0x27BC,10172,WEDGE-TAILED RIGHTWARDS ARROW,➼
356,0x27BD,10173,HEAVY WEDGE-TAILED RIGHTWARDS ARROW,➽
357,0x27BE,10174,OPEN-OUTLINED RIGHTWARDS ARROW,➾
